Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,10.28058206443576
21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,6.2423186826496
23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,13.787860239228515
34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,2.9302578014969822
24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,19.39661829066454
29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,13.763977224483765
35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,6.218001190136035
33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,16.849939917998213
34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,10.757108800062763
21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,4.540574388345036
25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,12.256076445503636
31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,19.618739348803757
37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,1.5581322628541128
33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,20.180635114116615
25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,6.116971669631634
29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,17.075594401053486
27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,4.470286489054095
35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,13.682044526137476
32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,13.973182653974487
23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,16.85361872983505
31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,4.6741721238665574
